Name,Url,Authority,Started On,Finished On,License Number
Master SQL Development,https://www.linkedin.com/learning/certificates/97db102732d71e182bc67545e2c500bef2610be647386dafb74399859e42d619,LinkedIn,Nov 2022,,
Become a Java Programmer,https://www.linkedin.com/learning/certificates/87fd883ab40ed5d9e6db59780b18640d25de37df8b4956f7c2548412a1255ec8,LinkedIn,Nov 2022,,
Become an Arduino Developer,https://www.linkedin.com/learning/certificates/642012a34e8e250b092d502ba66a4d227e8545178221c1c3a0c3bcf0471d75ef,LinkedIn,Nov 2022,,
"OpenAI Whisper, GPT3, Codex ",https://lablab.ai/u/@alex_romashko916/clc0l7zuw004ebe0rixztictf            ,lablab.ai,Nov 2022,,clc0l7zuw004ebe0rixztictf
Career Essentials in Generative AI by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/6950c6f562ee9bc00d75b8c8a3e5d29d02d9681640bcc7f24fba54680e303c5b,Microsoft,Aug 2023,,
Problem Solving (Basic),https://www.hackerrank.com/certificates/7e4306c31d73,HackerRank,,,
Python (Basic),https://www.hackerrank.com/certificates/0b0401650c39,HackerRank,,,
Rest API (Intermediate),https://www.hackerrank.com/certificates/624368260c3a,HackerRank,,,
Become a Six Sigma Black Belt,https://www.linkedin.com/learning/certificates/8b8663954354ed116ed28bb2f0549b5b7f0df0a7ceacc26568a1ec3d8501d04f,LinkedIn,Nov 2023,,
Six Sigma: Black Belt,https://www.linkedin.com/learning/certificates/eadfd00addaf444ca5d65171cb3b4d3fbf6807b06b8e903815bce47fad1c1915,LinkedIn,Nov 2023,,
LambdaTest Test Automation Professional Certificate,https://www.linkedin.com/learning/certificates/614964dcd4f138f6fb998fe9ce4984e0a63fc0e426292649da2f49551a1db28f,LambdaTest,Nov 2023,,
LambdaTest Software Testing Professional Certificate,https://www.linkedin.com/learning/certificates/1aafb0c3af9eb461f27a595eadaf8bcdb416ce29ae81aa51ba484b2b2962d4d8,LambdaTest,Nov 2023,,
SS&C Blue Prism Robotic Process Automation Professional Certificate,https://www.linkedin.com/learning/certificates/f48c7a7d2749e7fa9c5f4bc079127d52b60e5b81fb2828289b042aee0339e38a,SS&C Blue Prism,Nov 2023,,
Career Essentials in Software Development by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/3a11a055055f9ab375bb5b2c1909b9ad6092c8c7688998ca2742a47c9f07289a,Microsoft,Nov 2023,,
ServiceNow IT Leadership Professional Certificate,https://www.linkedin.com/learning/certificates/4fe7b0ae338c3b51893090f5871e84a30da1db283f39ddde18daa1e151ed6012,ServiceNow,Nov 2023,,
Career Essentials in Data Analysis by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/173303ffb8885c8ea3cd90445f2b85ce0ebff13ed617ec62bde0728d416b14d0,Microsoft,Nov 2023,,
Career Essentials in System Administration by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/c8f322d667f01757049c709f9c0c91f089192b9bbfaaa51358c4f188148b059e,Microsoft,Nov 2023,,
Career Essentials in Cybersecurity by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/dc187c615fd8098047ff7682755bbaccda653075f0071adb8e0d7c7c6a152e9b,Microsoft,Nov 2023,,
Career Essentials in Business Analysis by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/65e5395c14646f9774d1bce5ad18290026b4f2ec14acb6ce52f5b4b154578f5e,Microsoft,Nov 2023,,
Twilio Programmable Messaging and Voice Professional Certificate,https://www.linkedin.com/learning/certificates/33ca3af3e2942bb343c171f7bf03a7634d393e2934808d5aecec1e57d7ae661d,Twilio,Dec 2023,,
Career Essentials in GitHub Professional Certificate,https://www.linkedin.com/learning/certificates/9827703538438e911581a2fb812d107cfec2d329d34c7d806160ada8b047a90d,GitHub,Nov 2023,,
Zendesk Customer Service Professional Certificate,https://www.linkedin.com/learning/certificates/cd331b833b851086a4688ab4a5c0888f8dcbce8d91a6da55734cda6982ed9fbf,Zendesk,Dec 2023,,
Diploma for the project,,West Motors,Aug 2024,,
Become an AI Engineer,https://www.linkedin.com/learning/certificates/3bb312f3e91ca8352515a70f3457cdf69315bccc6e0f49a7083ae9904e05c02c,LinkedIn,Apr 2025,,
Applying AI as a Tech Leader,https://www.linkedin.com/learning/certificates/ef8c183f0f2573e13bf8d611c100e1ffd4a3540c8f3b4f4eea9957ce03416121,LinkedIn,Apr 2025,,
Transform Your Programming with AI Coding Tools,https://www.linkedin.com/learning/certificates/cb072c20c1737840da33eeb1a4c09765f1b1e819a7ba36d9bde2ba28cf5d6faf,LinkedIn,Apr 2025,,
Mastering Responsible AI: From Concept to Auditing,https://www.linkedin.com/learning/certificates/f78b9ca134a7ac034046d9953ffd4a8185cba3f5fe2fcea8b36a45a35b721212,LinkedIn,Apr 2025,,
Improve Your Programming Skills with Artificial Intelligence,https://www.linkedin.com/learning/certificates/fc41909856fc1fec303d90cee4da2e826e067c3b1abe19e4115208b82adc04fc,LinkedIn,Apr 2025,,
Leveraging AI Agents in Cloud Computing,https://www.linkedin.com/learning/certificates/f07ffbb8c9381e2ab39afe898e0091e7de8516cc8898a78d54312013845da94f,LinkedIn,May 2025,,
Building Agentic AI Systems for Tech Leaders,https://www.linkedin.com/learning/certificates/0c4b65d9fc32d17186e4822cd5f05a1ebfa7e89279a9a2d47a487bef3fc83dc9,LinkedIn,May 2025,,
AI Essentials for Business Analysis,https://www.linkedin.com/learning/certificates/ac825e70553e3c28ee7f4a356711ba778fec9adf53b7c338eaa0188facac02ba,LinkedIn,May 2025,,
AI for Healthcare: Essentials for Technical Roles,https://www.linkedin.com/learning/certificates/234c8c0ca192d81c804d85f113df62f6a3c26d21e52c932aa8893e2a35a58f98,LinkedIn,May 2025,,
Building Agentic AI Systems for Developers,https://www.linkedin.com/learning/certificates/67303da1b30a79bd1e4e450c16307b2faad154e0f20fc69b7a81bdea9db87e4e,LinkedIn,May 2025,,
Hands-On Healthcare Analytics,https://www.linkedin.com/learning/certificates/15f911e13446e2c70ee9ccf83ee0b37bc89a07400294e7b58b647702ba589c69,LinkedIn,May 2025,,
Manage Your LLMs with LLMOps,https://www.linkedin.com/learning/certificates/bfcd75abc7a71ee53721fe6b03ba932f2e635e1df1327dd7c8e4cb85c3ac3fd8,LinkedIn,May 2025,,
Understanding Generative AI for Tech Leaders,https://www.linkedin.com/learning/certificates/a19c81db4cac69394016a00e439f4f9a6d90af50a04cbb44880ed4782be0bc3c,LinkedIn,May 2025,,
AI Applications in Healthcare: A Conversation with Dr. Matthew Lungren,https://www.linkedin.com/learning/certificates/6b83ea82079238478972c3b4d2a41c1b31878080721600cce5deb23c40aa0f62,LinkedIn,May 2025,,
